2013-07-03 10:51:24,2013-07-03 10:51:24
15.21875,0.781250
16.140625,0.921875
17.015625,0.875000
17.890625,0.875000
30.859375,0.781250
42.609375,0.750000
43.53125,0.921875
60.234375,0.875000
61.09375,0.859375
62.09375,1.000000
65.578125,0.765625
78.3125,0.765625
82.78125,0.875000
83.71875,0.937500
84.75,1.031250
93.25,0.828125
94.21875,0.968750
109.265625,0.640625
109.953125,0.687500
110.6875,0.734375
111.359375,0.671875
112.171875,0.812500
116.25,0.718750
136.5625,0.812500
147.734375,0.734375
194.109375,0.828125
194.859375,0.750000
195.75,0.890625
196.53125,0.781250
197.3125,0.781250
198.171875,0.859375
199.046875,0.875000
200.109375,1.062500
204.953125,0.656250
205.625,0.671875
206.328125,0.703125
206.921875,0.593750
207.546875,0.625000
208.1875,0.640625
208.796875,0.609375
209.359375,0.562500
216.671875,1.015625
224.53125,0.640625
225.234375,0.703125
225.9375,0.703125
226.71875,0.781250
227.59375,0.875000
228.5,0.906250
229.34375,0.843750
230.140625,0.796875
230.984375,0.843750
231.734375,0.750000
232.359375,0.625000
233.015625,0.656250
233.640625,0.625000
234.328125,0.687500
235.140625,0.812500
236.078125,0.937500
236.859375,0.781250
237.640625,0.781250
238.5,0.859375
239.375,0.875000
240.25,0.875000
241.046875,0.796875
241.8125,0.765625
242.578125,0.765625
243.265625,0.687500
243.9375,0.671875
244.59375,0.656250
245.40625,0.812500
246.15625,0.750000
246.890625,0.734375
250.796875,0.890625
251.59375,0.796875
252.375,0.781250
253.125,0.750000
253.828125,0.703125
254.453125,0.625000
255.09375,0.640625
255.765625,0.671875
256.46875,0.703125
257.21875,0.750000
258.03125,0.812500
258.921875,0.890625
259.84375,0.921875
260.609375,0.765625
261.359375,0.750000
262.109375,0.750000
262.90625,0.796875
263.65625,0.750000
264.375,0.718750
265.078125,0.703125
265.828125,0.750000
266.515625,0.687500
267.25,0.734375
288.5,0.671875
289.125,0.625000
289.859375,0.734375
290.75,0.890625
291.65625,0.906250
292.34375,0.687500
322.0,0.671875
322.875,0.875000
338.828125,0.765625
339.59375,0.765625
340.375,0.781250
341.171875,0.796875
341.90625,0.734375
342.59375,0.687500
346.03125,0.718750
346.765625,0.734375
347.515625,0.750000
348.203125,0.687500
362.8125,0.687500
363.5,0.687500
364.234375,0.734375
365.0625,0.828125
379.984375,0.625000
397.484375,0.578125
398.0625,0.578125
398.640625,0.578125
399.203125,0.562500
399.75,0.546875
400.296875,0.546875
400.875,0.578125
401.453125,0.578125
402.0625,0.609375
402.703125,0.640625
403.4375,0.734375
404.171875,0.734375
438.625,0.671875
439.265625,0.640625
521.984375,0.765625
522.765625,0.781250
523.671875,0.906250
524.484375,0.812500
525.21875,0.734375
526.09375,0.875000
527.015625,0.921875
527.765625,0.750000
528.65625,0.890625
529.625,0.968750
538.40625,0.859375
539.3125,0.906250
540.125,0.812500
540.890625,0.765625
541.59375,0.703125
542.40625,0.812500
543.359375,0.953125
544.140625,0.781250
544.8125,0.671875
553.046875,0.765625
553.765625,0.718750
554.578125,0.812500
555.484375,0.906250
573.6875,0.921875
574.5625,0.875000
575.453125,0.890625
576.421875,0.968750
577.328125,0.906250
613.984375,0.687500
614.71875,0.734375
615.46875,0.750000
651.59375,0.843750
652.46875,0.875000
653.375,0.906250
654.296875,0.921875
655.15625,0.859375
656.078125,0.921875
697.015625,0.796875
701.640625,0.687500
841.96875,0.718750
842.71875,0.750000
843.53125,0.812500
844.421875,0.890625
845.234375,0.812500
846.078125,0.843750
879.640625,1.000000
880.546875,0.906250
881.453125,0.906250
882.296875,0.843750
883.28125,0.984375
889.546875,0.937500
890.359375,0.812500
891.21875,0.859375
892.03125,0.812500
892.765625,0.734375
900.1875,0.718750
918.390625,0.765625
919.140625,0.750000
920.0625,0.921875
921.03125,0.968750
921.78125,0.750000
922.484375,0.703125
934.15625,0.906250
935.03125,0.875000
935.875,0.843750
936.703125,0.828125
946.390625,0.921875
947.203125,0.812500
947.96875,0.765625
948.796875,0.828125
949.640625,0.843750
950.359375,0.718750
951.09375,0.734375
951.90625,0.812500
952.671875,0.765625
970.03125,0.875000
970.921875,0.890625
971.6875,0.765625
972.53125,0.843750
973.234375,0.703125
974.078125,0.843750
974.796875,0.718750
975.5,0.703125
982.59375,0.765625
983.375,0.781250
984.28125,0.906250
984.9375,0.656250
1019.578125,0.750000
1020.34375,0.765625
1021.21875,0.875000
1022.15625,0.937500
1023.078125,0.921875
1023.96875,0.890625
1024.8125,0.843750
1025.578125,0.765625
1026.3125,0.734375
1121.953125,0.906250
1122.71875,0.765625
1123.5625,0.843750
1124.5,0.937500
1125.453125,0.953125
1208.40625,0.984375
1222.6875,0.890625
1223.59375,0.906250
1224.375,0.781250
1225.234375,0.859375
1232.0,0.859375
1232.90625,0.906250
1233.703125,0.796875
1234.515625,0.812500
1235.40625,0.890625
1236.3125,0.906250
1237.09375,0.781250
1237.890625,0.796875
1238.75,0.859375
1239.59375,0.843750
1240.40625,0.812500
1241.296875,0.890625
1242.28125,0.984375
1243.1875,0.906250
1244.0625,0.875000
1292.953125,0.703125
1293.65625,0.703125
1294.546875,0.890625
1324.90625,0.703125
1325.734375,0.828125
1326.71875,0.984375
1327.65625,0.937500
1328.609375,0.953125
1329.375,0.765625
1330.203125,0.828125
1331.078125,0.875000
1331.9375,0.859375
1332.84375,0.906250
1333.8125,0.968750
1334.6875,0.875000
1335.453125,0.765625
1336.203125,0.750000
1336.96875,0.765625
1337.796875,0.828125
1338.5625,0.765625
1339.4375,0.875000
1340.375,0.937500
1341.234375,0.859375
1342.109375,0.875000
1362.1875,0.703125
1363.0,0.812500
1363.984375,0.984375
1364.984375,1.000000
1372.234375,0.859375
1373.125,0.890625
1378.3125,0.765625
1379.09375,0.781250
1379.84375,0.750000
1380.46875,0.625000
1384.703125,0.843750
1385.59375,0.890625
1386.625,1.031250
1387.4375,0.812500
1388.3125,0.875000
1389.203125,0.890625
1389.984375,0.781250
1390.828125,0.843750
1450.5625,0.687500
1451.1875,0.625000
1451.875,0.687500
1452.59375,0.718750
1453.421875,0.828125
1454.203125,0.781250
1454.984375,0.781250
1455.859375,0.875000
1456.828125,0.968750
1457.71875,0.890625
1458.640625,0.921875
1459.59375,0.953125
1460.5,0.906250
1461.34375,0.843750
1462.09375,0.750000
1462.859375,0.765625
1481.4375,0.750000
1482.21875,0.781250
1483.046875,0.828125
1483.84375,0.796875
1484.71875,0.875000
1485.625,0.906250
1486.53125,0.906250
1487.40625,0.875000
1488.25,0.843750
1489.078125,0.828125
1489.75,0.671875
1490.484375,0.734375
1491.1875,0.703125
1491.90625,0.718750
1516.9375,1.390625
1518.578125,1.640625
1539.171875,0.937500
1540.0,0.828125
1540.875,0.875000
1541.859375,0.984375
1542.84375,0.984375
1543.796875,0.953125
1544.8125,1.015625
1545.796875,0.984375
1546.6875,0.890625
1559.796875,0.906250
1560.6875,0.890625
1561.46875,0.781250
1562.265625,0.796875
1563.171875,0.906250
1564.1875,1.015625
1565.109375,0.921875
1566.140625,1.031250
1567.1875,1.046875
1568.140625,0.953125
1569.125,0.984375
1570.109375,0.984375
1571.078125,0.968750
1572.0,0.921875
1572.984375,0.984375
1573.984375,1.000000
1574.890625,0.906250
1575.90625,1.015625
1576.859375,0.953125
1596.125,0.781250
1597.109375,0.984375
1598.015625,0.906250
1598.828125,0.812500
1599.875,1.046875
1626.578125,0.843750
1627.421875,0.843750
1628.25,0.828125
1629.03125,0.781250
1629.921875,0.890625
1630.90625,0.984375
1631.921875,1.015625
1632.828125,0.906250
1633.796875,0.968750
1634.75,0.953125
1635.625,0.875000
1636.34375,0.718750
1637.03125,0.687500
1641.71875,0.937500
1642.59375,0.875000
1643.421875,0.828125
1644.3125,0.890625
1645.21875,0.906250
1646.0,0.781250
1667.671875,0.859375
1668.59375,0.921875
1669.484375,0.890625
1670.40625,0.921875
1671.296875,0.890625
1672.203125,0.906250
1673.109375,0.906250
1674.015625,0.906250
1674.828125,0.812500
1675.703125,0.875000
1676.609375,0.906250
1677.53125,0.921875
1678.40625,0.875000
1679.21875,0.812500
1680.078125,0.859375
1680.96875,0.890625
1681.859375,0.890625
1682.640625,0.781250
1683.484375,0.843750
1684.53125,1.046875
1685.4375,0.906250
1686.296875,0.859375
1687.171875,0.875000
1688.109375,0.937500
1689.0,0.890625
1689.859375,0.859375
1690.734375,0.875000
1691.609375,0.875000
1692.390625,0.781250
1693.109375,0.718750
1693.953125,0.843750
1694.765625,0.812500
1695.546875,0.781250
1696.4375,0.890625
1697.40625,0.968750
1698.328125,0.921875
1699.1875,0.859375
1700.078125,0.890625
1701.0,0.921875
1701.859375,0.859375
1702.640625,0.781250
1728.96875,0.859375
1729.859375,0.890625
1730.828125,0.968750
1731.8125,0.984375
1732.796875,0.984375
1736.390625,0.656250
1737.234375,0.843750
1759.078125,0.625000
1773.703125,0.859375
1774.578125,0.875000
1775.28125,0.703125
1775.953125,0.671875
1776.640625,0.687500
1777.4375,0.796875
1778.296875,0.859375
1779.171875,0.875000
1780.015625,0.843750
1780.875,0.859375
1781.765625,0.890625
1782.640625,0.875000
1783.515625,0.875000
1784.359375,0.843750
1785.109375,0.750000
1785.84375,0.734375
1786.609375,0.765625
1787.421875,0.812500
1788.25,0.828125
1789.015625,0.765625
1859.765625,0.718750
1860.46875,0.703125
1861.203125,0.734375
1865.46875,0.687500
1883.125,0.906250
1883.96875,0.843750
1884.71875,0.750000
1885.390625,0.671875
1886.0625,0.671875
1886.75,0.687500
1887.59375,0.843750
1888.484375,0.890625
1889.390625,0.906250
1890.265625,0.875000
1929.3125,0.906250
1930.25,0.937500
1931.171875,0.921875
1932.0,0.828125
1942.9375,0.828125
1943.671875,0.734375
1944.453125,0.781250
1945.3125,0.859375
1946.21875,0.906250
1947.015625,0.796875
1947.828125,0.812500
1948.75,0.921875
1949.6875,0.937500
1950.515625,0.828125
1951.3125,0.796875
1952.15625,0.843750
1953.015625,0.859375
1953.765625,0.750000
1974.578125,0.875000
1975.515625,0.937500
1976.5,0.984375
1977.3125,0.812500
1978.125,0.812500
1979.015625,0.890625
1980.03125,1.015625
1981.0,0.968750
1982.078125,1.078125
1986.515625,0.921875
1987.46875,0.953125
1988.390625,0.921875
1989.1875,0.796875
1990.03125,0.843750
1990.9375,0.906250
1991.859375,0.921875
1992.640625,0.781250
1993.46875,0.828125
1994.421875,0.953125
1995.375,0.953125
1996.265625,0.890625
1997.09375,0.828125
1998.015625,0.921875
1999.015625,1.000000
1999.90625,0.890625
2000.75,0.843750
2001.625,0.875000
2002.609375,0.984375
2003.546875,0.937500
2004.453125,0.906250
2005.40625,0.953125
2006.375,0.968750
2007.171875,0.796875
2007.953125,0.781250
2008.890625,0.937500
2028.25,0.671875
2028.9375,0.687500
2029.625,0.687500
2030.3125,0.687500
2031.0,0.687500
2031.75,0.750000
2032.625,0.875000
2033.5,0.875000
2067.53125,0.796875
2068.375,0.843750
2069.28125,0.906250
2070.140625,0.859375
2070.90625,0.765625
2071.75,0.843750
2072.6875,0.937500
2073.625,0.937500
2074.5,0.875000
2075.421875,0.921875
2076.359375,0.937500
2077.203125,0.843750
2078.015625,0.812500
2078.921875,0.906250
2079.90625,0.984375
2080.859375,0.953125
2081.703125,0.843750
2082.609375,0.906250
2083.546875,0.937500
2084.46875,0.921875
2085.296875,0.828125
2086.171875,0.875000
2087.203125,1.031250
2088.21875,1.015625
2089.09375,0.875000
2090.0,0.906250
2090.96875,0.968750
2091.921875,0.953125
2092.796875,0.875000
2093.734375,0.937500
2094.75,1.015625
2095.6875,0.937500
2096.5625,0.875000
2097.484375,0.921875
2098.484375,1.000000
2099.40625,0.921875
2100.28125,0.875000
2101.265625,0.984375
