1959-10-05 21:01:14.828125,1959-10-05 21:01:14.828125
75.609375,0.781250
76.390625,0.781250
77.09375,0.703125
77.8125,0.718750
78.515625,0.703125
79.1875,0.671875
79.84375,0.656250
80.5,0.656250
81.15625,0.656250
81.8125,0.656250
82.4375,0.625000
83.078125,0.640625
83.71875,0.640625
84.40625,0.687500
85.0625,0.656250
85.703125,0.640625
86.359375,0.656250
87.03125,0.671875
87.6875,0.656250
88.328125,0.640625
89.0,0.671875
89.640625,0.640625
90.28125,0.640625
90.890625,0.609375
91.5,0.609375
92.15625,0.656250
92.796875,0.640625
93.375,0.578125
94.0,0.625000
1684532969.0, IBI
17.359375,0.640625
18.015625,0.656250
18.65625,0.640625
19.296875,0.640625
19.90625,0.609375
20.484375,0.578125
21.015625,0.531250
21.578125,0.562500
22.25,0.671875
31.28125,0.734375
31.96875,0.687500
32.609375,0.640625
33.296875,0.687500
36.578125,0.625000
37.21875,0.640625
37.859375,0.640625
38.5,0.640625
39.125,0.625000
39.765625,0.640625
40.53125,0.765625
41.296875,0.765625
41.984375,0.687500
42.625,0.640625
43.3125,0.687500
44.03125,0.718750
44.78125,0.750000
45.5,0.718750
46.28125,0.781250
47.0625,0.781250
47.796875,0.734375
94.640625,0.640625
95.28125,0.640625
95.96875,0.687500
96.65625,0.687500
97.265625,0.609375
97.84375,0.578125
98.40625,0.562500
98.984375,0.578125
104.953125,0.703125
105.609375,0.656250
106.1875,0.578125
109.125,0.625000
116.484375,0.671875
117.171875,0.687500
117.859375,0.687500
118.53125,0.671875
119.1875,0.656250
119.84375,0.656250
120.484375,0.640625
121.09375,0.609375
121.75,0.656250
122.40625,0.656250
123.03125,0.625000
130.6875,0.625000
131.28125,0.593750
131.921875,0.640625
132.546875,0.625000
133.1875,0.640625
133.8125,0.625000
145.015625,0.625000
54.84375,0.578125
55.40625,0.562500
55.9375,0.531250
56.5,0.562500
57.078125,0.578125
57.703125,0.625000
58.34375,0.640625
58.984375,0.640625
59.671875,0.687500
60.40625,0.734375
61.078125,0.671875
61.734375,0.656250
62.390625,0.656250
63.046875,0.656250
63.671875,0.625000
64.328125,0.656250
65.0,0.671875
65.734375,0.734375
66.4375,0.703125
67.171875,0.734375
67.953125,0.781250
68.671875,0.718750
69.328125,0.656250
70.015625,0.687500
70.6875,0.671875
71.34375,0.656250
71.984375,0.640625
72.671875,0.687500
73.40625,0.734375
74.09375,0.687500
74.828125,0.734375
75.609375,0.781250
76.390625,0.781250
77.09375,0.703125
77.8125,0.718750
78.515625,0.703125
79.1875,0.671875
79.84375,0.656250
80.5,0.656250
81.15625,0.656250
81.8125,0.656250
82.4375,0.625000
83.078125,0.640625
83.71875,0.640625
84.40625,0.687500
85.0625,0.656250
85.703125,0.640625
86.359375,0.656250
87.03125,0.671875
87.6875,0.656250
88.328125,0.640625
89.0,0.671875
89.640625,0.640625
90.28125,0.640625
90.890625,0.609375
91.5,0.609375
92.15625,0.656250
92.796875,0.640625
93.375,0.578125
94.0,0.625000
